# Time-averaged data for fix avgRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2]
5100 150
139 9.04867 1.05109
140 9.114 0.936728
141 9.17933 1.04937
142 9.24467 0.938025
143 9.31 0.96571
144 9.37533 1.05289
145 9.44067 0.98546
146 9.506 0.998053
147 9.57133 1.07456
148 9.63667 0.958476
149 9.702 0.945611
150 9.76733 0.976255
5300 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0.372653
40 2.58067 1.06207
41 2.646 1.17865
42 2.71133 2.48562
43 2.77667 3.13456
44 2.842 3.06508
45 2.90733 1.74338
46 2.97267 1.40078
47 3.038 1.21345
48 3.10333 0.73446
49 3.16867 1.29156
50 3.234 0.619951
51 3.29933 0.703941
52 3.36467 1.09341
53 3.43 0.551126
54 3.49533 0.723704
55 3.56067 0.883361
56 3.626 0.896649
57 3.69133 0.821931
58 3.75667 1.29481
59 3.822 0.928102
60 3.88733 0.936175
61 3.95267 1.13185
62 4.018 1.24139
63 4.08333 1.20199
64 4.14867 0.787701
65 4.214 1.1618
66 4.27933 1.0944
67 4.34467 0.968055
68 4.41 0.878967
69 4.47533 1.50097
70 4.54067 1.08642
71 4.606 1.05582
72 4.67133 0.999476
73 4.73667 1.07719
74 4.802 1.12476
75 4.86733 0.84596
76 4.93267 1.35668
77 4.998 0.991083
78 5.06333 1.14961
79 5.12867 1.00846
80 5.194 1.0051
81 5.25933 0.93766
82 5.32467 0.894001
83 5.39 0.872459
84 5.45533 0.990334
85 5.52067 1.00571
86 5.586 0.925654
87 5.65133 0.941289
88 5.71667 0.883823
89 5.782 0.793435
90 5.84733 1.01716
91 5.91267 0.758754
92 5.978 0.956691
93 6.04333 0.871558
94 6.10867 0.979387
95 6.174 1.02063
96 6.23933 1.04479
97 6.30467 0.978758
98 6.37 1.13311
99 6.43533 1.08175
100 6.50067 1.11591
101 6.566 1.2032
102 6.63133 0.991942
103 6.69667 1.01211
104 6.762 0.915302
105 6.82733 0.897868
106 6.89267 0.967779
107 6.958 0.840111
108 7.02333 1.03965
109 7.08867 1.12616
110 7.154 1.07113
111 7.21933 1.07445
112 7.28467 1.02194
113 7.35 1.18935
114 7.41533 1.18992
115 7.48067 1.06389
116 7.546 0.973086
117 7.61133 0.956452
118 7.67667 1.13029
119 7.742 0.845764
120 7.80733 0.909033
121 7.87267 0.92254
122 7.938 1.22548
123 8.00333 0.883459
124 8.06867 0.914482
125 8.134 0.837485
126 8.19933 1.13984
127 8.26467 1.02696
128 8.33 0.985429
129 8.39533 1.04542
130 8.46067 1.03757
131 8.526 0.989297
132 8.59133 1.02222
133 8.65667 0.967523
134 8.722 0.860099
135 8.78733 1.04584
136 8.85267 0.955241
137 8.918 0.852355
138 8.98333 1.14679
139 9.04867 1.13029
140 9.114 1.05027
141 9.17933 1.11233
142 9.24467 0.896641
143 9.31 1.04052
144 9.37533 0.999242
145 9.44067 1.05821
146 9.506 1.06981
147 9.57133 0.952302
148 9.63667 0.952128
149 9.702 0.920561
150 9.76733 1.04422
5400 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0
40 2.58067 0.796554
41 2.646 2.02055
42 2.71133 2.88652
43 2.77667 2.98165
44 2.842 2.18934
45 2.90733 2.16179
46 2.97267 2.06781
47 3.038 0.957985
48 3.10333 1.2241
49 3.16867 0.763193
50 3.234 0.73267
51 3.29933 0.703941
52 3.36467 0.67687
53 3.43 0.701433
54 3.49533 0.723704
55 3.56067 0.883361
56 3.626 1.12081
57 3.69133 0.865191
58 3.75667 0.835359
59 3.822 0.928102
60 3.88733 0.85816
61 3.95267 1.09413
62 4.018 0.766742
63 4.08333 1.09593
64 4.14867 1.09593
65 4.214 1.26138
66 4.27933 1.15878
67 4.34467 1.09297
68 4.41 1.03051
69 4.47533 1.23609
70 4.54067 1.17219
71 4.606 1.16695
72 4.67133 1.35064
73 4.73667 1.31364
74 4.802 0.971387
75 4.86733 0.970366
76 4.93267 1.13864
77 4.998 1.06188
78 5.06333 0.988665
79 5.12867 0.896406
80 5.194 0.983247
81 5.25933 1.08683
82 5.32467 0.852419
83 5.39 0.83188
84 5.45533 0.950721
85 5.52067 0.831649
86 5.586 0.868982
87 5.65133 0.830549
88 5.71667 0.937934
89 5.782 0.846331
90 5.84733 0.913724
91 5.91267 0.859921
92 5.978 1.12164
93 6.04333 1.06524
94 6.10867 0.995184
95 6.174 1.02063
96 6.23933 1.05993
97 6.30467 0.88978
98 6.37 0.958784
99 6.43533 1.28102
100 6.50067 0.781139
101 6.566 1.03913
102 6.63133 1.12599
103 6.69667 0.972681
104 6.762 1.18602
105 6.82733 0.999036
106 6.89267 1.01741
107 6.958 1.02274
108 7.02333 0.908204
109 7.08867 0.985387
110 7.154 1.03658
111 7.21933 0.98397
112 7.28467 1.23299
113 7.35 1.08023
114 7.41533 0.975521
115 7.48067 1.09549
116 7.546 1.06625
117 7.61133 1.0175
118 7.67667 1.13029
119 7.742 1.03262
120 7.80733 0.87035
121 7.87267 0.913029
122 7.938 0.99161
123 8.00333 0.929473
124 8.06867 0.950699
125 8.134 0.997854
126 8.19933 0.938175
127 8.26467 1.05285
128 8.33 1.22329
129 8.39533 0.827974
130 8.46067 0.881114
131 8.526 1.06228
132 8.59133 0.974308
133 8.65667 1.06978
134 8.722 1.02282
135 8.78733 0.9924
136 8.85267 1.03798
137 8.918 1.04506
138 8.98333 1.008
139 9.04867 1.04389
140 9.114 0.965114
141 9.17933 1.10533
142 9.24467 0.917333
143 9.31 1.01332
144 9.37533 0.985829
145 9.44067 0.912708
146 9.506 1.03719
147 9.57133 1.01665
148 9.63667 1.00291
149 9.702 1.05833
150 9.76733 0.939182
5500 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0.0981978
39 2.51533 0.372653
40 2.58067 0.44253
41 2.646 1.76798
42 2.71133 3.20725
43 2.77667 2.29358
44 2.842 3.06508
45 2.90733 2.02232
46 2.97267 1.801
47 3.038 1.21345
48 3.10333 0.97928
49 3.16867 1.05673
50 3.234 0.789029
51 3.29933 0.81224
52 3.36467 0.937205
53 3.43 0.250512
54 3.49533 0.771951
55 3.56067 0.697391
56 3.626 0.806984
57 3.69133 0.692152
58 3.75667 1.0442
59 3.822 0.887749
60 3.88733 0.936175
61 3.95267 1.01867
62 4.018 1.2779
63 4.08333 1.20199
64 4.14867 1.16443
65 4.214 0.730272
66 4.27933 1.22316
67 4.34467 1.56138
68 4.41 1.03051
69 4.47533 0.941784
70 4.54067 1.17219
71 4.606 1.41702
72 4.67133 0.702335
73 4.73667 0.945822
74 4.802 0.99695
75 4.86733 1.36846
76 4.93267 0.944831
77 4.998 1.22706
78 5.06333 1.03465
79 5.12867 1.0981
80 5.194 1.07065
81 5.25933 0.916349
82 5.32467 0.935582
83 5.39 0.953618
84 5.45533 0.970528
85 5.52067 0.87033
86 5.586 0.774527
87 5.65133 0.941289
88 5.71667 0.974009
89 5.782 0.775803
90 5.84733 0.999925
91 5.91267 0.961088
92 5.978 0.973185
93 6.04333 1.06524
94 6.10867 0.868811
95 6.174 0.757737
96 6.23933 0.984221
97 6.30467 0.978758
98 6.37 0.973311
99 6.43533 1.06752
100 6.50067 0.934577
101 6.566 0.929744
102 6.63133 1.26003
103 6.69667 0.972681
104 6.762 1.19892
105 6.82733 1.11285
106 6.89267 1.04222
107 6.958 1.20538
108 7.02333 1.12331
109 7.08867 0.961925
110 7.154 0.967471
111 7.21933 0.84825
112 7.28467 1.06637
113 7.35 1.10206
114 7.41533 1.09344
115 7.48067 0.874288
116 7.546 0.952382
117 7.61133 1.17013
118 7.67667 1.02026
119 7.742 1.05229
120 7.80733 0.986397
121 7.87267 0.817922
122 7.938 1.08516
123 8.00333 1.06751
124 8.06867 1.10462
125 8.134 0.926579
126 8.19933 1.01709
127 8.26467 0.897511
128 8.33 0.959944
129 8.39533 0.894881
130 8.46067 0.963461
131 8.526 1.07039
132 8.59133 1.08611
133 8.65667 1.03832
134 8.722 0.96858
135 8.78733 0.801554
136 8.85267 0.94772
137 8.918 1.05247
138 8.98333 1.13218
139 9.04867 1.08709
140 9.114 0.97221
141 9.17933 1.02838
142 9.24467 1.15184
143 9.31 0.992913
144 9.37533 0.925472
145 9.44067 1.06483
146 9.506 0.926298
147 9.57133 1.17751
148 9.63667 0.907696
149 9.702 0.870463
150 9.76733 0.988612
5600 150
